Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 13 - 9 - 2008,Liga,FC Barcelona,Racing Santander,Racing Santander,71,1,0,Penalty,Left foot,Draw
 4 - 5 - 2008,Liga,FC Barcelona,Valencia,Valencia,6,1,0,Penalty,Left foot,Won
 24 - 11 - 2007,Liga,FC Barcelona,Recreativo Huelva,Recreativo Huelva,82,3,0,Penalty,Left foot,Won
 28 - 10 - 2007,Liga,FC Barcelona,UD Almeria,UD Almeria,81,2,0,Penalty,Left foot,Won
 7 - 10 - 2007,Liga,FC Barcelona,Atletico Madrid,Atletico Madrid,19,2,0,,Left foot,Won
 26 - 9 - 2007,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,5,1,0,,Left foot,Won
 22 - 9 - 2007,Liga,FC Barcelona,Sevilla,Sevilla,80,2,0,Penalty,Left foot,Won
 22 - 9 - 2007,Liga,FC Barcelona,Sevilla,Sevilla,74,1,0,,Left foot,Won
 31 - 3 - 2007,Liga,FC Barcelona,Deportivo La Coruna,Deportivo La Coruna,45,1,0,,Left foot,Won
 9 - 9 - 2006,Liga,FC Barcelona,Osasuna,Osasuna,37,3,0,,Left foot,Won
 22 - 1 - 2006,Liga,FC Barcelona,Alaves ,Alaves ,81,2,0,Rebound,Left foot,Won
 27 - 11 - 2005,Liga,FC Barcelona,Racing Santander,Racing Santander,52,2,0,,Left foot,Won
 1 - 5 - 2005,Liga,FC Barcelona,Albacete,Albacete,90,2,0,,Left foot,Won
 9 - 3 - 2019,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,51,2,1,Penalty,Left foot,Won
 2 - 2 - 2019,Liga,FC Barcelona,Valencia,Valencia,64,2,2,Field goal,Left foot,Draw
 2 - 2 - 2019,Liga,FC Barcelona,Valencia,Valencia,39,1,2,Penalty,Left foot,Draw
 11 - 11 - 2018,Liga,FC Barcelona,Real Betis,Real Betis,90+2,3,4,Field goal,Left foot,Lost
 11 - 11 - 2018,Liga,FC Barcelona,Real Betis,Real Betis,68,1,2,Penalty,Left foot,Lost
 2 - 9 - 2018,Liga,FC Barcelona,Huesca,Huesca,61,6,2,Field goal,Left foot,Won
 6 - 5 - 2018,Liga,FC Barcelona,Real Madrid,Real Madrid,52,2,1,Field goal,Left foot,Draw
 7 - 4 - 2018,Liga,FC Barcelona,Leganes,Leganes,87,3,1,Field goal,Left foot,Won
 24 - 2 - 2018,Liga,FC Barcelona,Girona,Girona,36,3,1,Free kick,Left foot,Won
 24 - 2 - 2018,Liga,FC Barcelona,Girona,Girona,30,2,1,Field goal,Left foot,Won
 28 - 1 - 2018,Liga,FC Barcelona,Alaves ,Alaves ,84,2,1,Free kick,Left foot,Won
 2 - 12 - 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,22,1,1,Field goal,Left foot,Draw
 19 - 9 - 2017,Liga,FC Barcelona,Eibar,Eibar,87,6,1,Field goal,Left foot,Won
 19 - 9 - 2017,Liga,FC Barcelona,Eibar,Eibar,62,5,1,Field goal,Left foot,Won
